KOfam	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_Ia.1.I	p_Ib.1	p_Ia.4.II	p_Ia.4.RS39	p_Ia.4.1483	p_Ia.3.V	p_Ia.3.IV	p_Ia.3.III	p_Ia.3.I	p_Ia.3.II	p_Ia.3.VI	N_Ia.1.I	N_Ib.1	N_Ia.4.II	N_Ia.4.RS39	N_Ia.4.1483	N_Ia.3.V	N_Ia.3.IV	N_Ia.3.III	N_Ia.3.I	N_Ia.3.II	N_Ia.3.VI
hydroxypyruvate isomerase [EC:5.3.1.22]	4.003868600512669	0.9471722944878617	1	Ia.3.VI	K01816	GC_00002324	0	0	0	0	0	0	0	0	0	0	0.0851	7	2	7	4	1	8	2	5	3	6	47
inner membrane protein	4.003868600512669	0.9471722944878617	1	Ia.3.VI	K07038	GC_00002711, GC_00005456	0	0	0	0	0	0	0	0	0	0	0.0851	7	2	7	4	1	8	2	5	3	6	47
(4S)-4-hydroxy-5-phosphonooxypentane-2,3-dione isomerase [EC:5.3.1.32]	4.003868600512669	0.9471722944878617	1	Ia.3.VI	K11530	GC_00002319	0	0	0	0	0	0	0	0	0	0	0.0851	7	2	7	4	1	8	2	5	3	6	47
protein PsiE	4.00386860051266	0.947172294487862	1	Ia.1.I, Ib.1, Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II	K13256	GC_00000921	1	1	1	1	1	1	1	1	1	1	0.9149	7	2	7	4	1	8	2	5	3	6	47
exopolysaccharide production protein ExoZ	3.932934021468164	0.9503217253927073	1	Ia.4.II, Ia.4.RS39, Ia.3.III, Ia.3.I, Ia.3.II	K16568	GC_00002130, GC_00002533, GC_00002884, GC_00004480, GC_00005262, GC_00005423, GC_00006117, GC_00006332, GC_00006929, GC_00007278, GC_00007357, GC_00007426, GC_00007434, GC_00008030	0.1429	0	0.2857	0.25	0	0.125	0	0.4	0.3333	0.3333	0.2128	7	2	7	4	1	8	2	5	3	6	47
UDP-N-acetylglucosamine 2-epimerase (hydrolysing) [EC:3.2.1.183]	3.768987872964883	0.9571671576000939	1	Ia.3.V, Ia.3.VI	K08068	GC_00002738, GC_00006805, GC_00007327	0	0	0	0	0	0.125	0	0	0	0	0.0851	7	2	7	4	1	8	2	5	3	6	47
acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha [EC:1.1.1.-]	3.650365130414317	0.9617445275476748	1	Ia.1.I, Ia.3.V, Ia.3.VI	K21416	GC_00002380, GC_00006661	0.1429	0	0	0	0	0.125	0	0	0	0	0.0638	7	2	7	4	1	8	2	5	3	6	47
deglycase [EC:3.5.1.124]	3.428312557582117	0.9694765818017556	1	Ia.3.V, Ia.3.VI	K05520	GC_00002388	0	0	0	0	0	0.125	0	0	0	0	0.0638	7	2	7	4	1	8	2	5	3	6	47
polysaccharide biosynthesis protein PslH	2.969162233763714	0.9821404811459667	1	Ia.3.VI	K21001	GC_00002964	0	0	0	0	0	0	0	0	0	0	0.0638	7	2	7	4	1	8	2	5	3	6	47
phosphatidylglycerophosphatase C [EC:3.1.3.27]	2.969162233763714	0.9821404811459667	1	Ia.3.VI	K18697	GC_00002643	0	0	0	0	0	0	0	0	0	0	0.0638	7	2	7	4	1	8	2	5	3	6	47
2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]	1.9574767881811543	0.9966557866756948	1	Ia.1.I, Ib.1, Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II	K01834	GC_00000915	1	1	1	1	1	1	1	1	1	1	0.9574	7	2	7	4	1	8	2	5	3	6	47
phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1]	1.9574767881811543	0.9966557866756948	1	Ia.1.I, Ib.1, Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II	K01933	GC_00000901	1	1	1	1	1	1	1	1	1	1	0.9574	7	2	7	4	1	8	2	5	3	6	47
N-acetyl-alpha-D-muramate 1-phosphate uridylyltransferase [EC:2.7.7.99]	1.9574767881811543	0.9966557866756948	1	Ia.1.I, Ib.1, Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II	K00992	GC_00000908	1	1	1	1	1	1	1	1	1	1	0.9574	7	2	7	4	1	8	2	5	3	6	47
nucleoside-diphosphate kinase [EC:2.7.4.6]	1.9574767881811543	0.9966557866756948	1	Ia.1.I, Ib.1, Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II	K00940	GC_00000919	1	1	1	1	1	1	1	1	1	1	0.9574	7	2	7	4	1	8	2	5	3	6	47
leucyl aminopeptidase [EC:3.4.11.1]	1.9574767881811543	0.9966557866756948	1	Ia.1.I, Ib.1, Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II	K01255	GC_00000920	1	1	1	1	1	1	1	1	1	1	0.9574	7	2	7	4	1	8	2	5	3	6	47
phosphoribosylglycinamide formyltransferase 1 [EC:2.1.2.2]	1.9574767881811543	0.9966557866756948	1	Ia.1.I, Ib.1, Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II	K11175	GC_00000899	1	1	1	1	1	1	1	1	1	1	0.9574	7	2	7	4	1	8	2	5	3	6	47
TetR/AcrR family transcriptional regulator, regulator of cefoperazone and chloramphenicol sensitivity	1.9574767881811521	0.9966557866756948	1	Ia.3.VI	K23777	GC_00003922	0	0	0	0	0	0	0	0	0	0	0.0426	7	2	7	4	1	8	2	5	3	6	47
dTDP-4-amino-4,6-dideoxyglucose formyltransferase [EC:2.3.1.-]	1.9574767881811521	0.9966557866756948	1	Ia.3.VI	K22885	GC_00003027	0	0	0	0	0	0	0	0	0	0	0.0426	7	2	7	4	1	8	2	5	3	6	47
4,5-DOPA dioxygenase extradiol [EC:1.13.11.-]	1.9574767881811521	0.9966557866756948	1	Ia.3.VI	K15777	GC_00003418	0	0	0	0	0	0	0	0	0	0	0.0426	7	2	7	4	1	8	2	5	3	6	47
D-alanine--poly(phosphoribitol) ligase subunit 1 [EC:6.1.1.13]	1.9574767881811521	0.9966557866756948	1	Ia.3.VI	K03367	GC_00003262	0	0	0	0	0	0	0	0	0	0	0.0426	7	2	7	4	1	8	2	5	3	6	47
site-specific DNA-methyltransferase (adenine-specific) [EC:2.1.1.72]	1.9574767881811521	0.9966557866756948	1	Ia.3.VI	K00571	GC_00007816, GC_00007875	0	0	0	0	0	0	0	0	0	0	0.0426	7	2	7	4	1	8	2	5	3	6	47
N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase [EC:2.4.1.187]	1.9574767881811521	0.9966557866756948	1	Ia.3.VI	K05946	GC_00005288, GC_00005924	0	0	0	0	0	0	0	0	0	0	0.0426	7	2	7	4	1	8	2	5	3	6	47
spore maturation protein CgeB	0.9679692485254033	0.9998517981840558	1	Ia.1.I, Ib.1, Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II	K06320	GC_00001350, GC_00001352, GC_00002331, GC_00002717, GC_00002963, GC_00003042, GC_00003443, GC_00003784, GC_00003885, GC_00004515, GC_00004910, GC_00005161, GC_00006302, GC_00006454, GC_00006527, GC_00006651, GC_00006669, GC_00006920, GC_00007547	1	1	1	1	1	1	1	1	1	1	0.9787	7	2	7	4	1	8	2	5	3	6	47
preprotein translocase subunit SecG	0.9679692485254033	0.9998517981840558	1	Ia.1.I, Ib.1, Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II	K03075	GC_00000814	1	1	1	1	1	1	1	1	1	1	0.9787	7	2	7	4	1	8	2	5	3	6	47
UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]	0.9679692485254033	0.9998517981840558	1	Ia.1.I, Ib.1, Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II	K00075	GC_00000850	1	1	1	1	1	1	1	1	1	1	0.9787	7	2	7	4	1	8	2	5	3	6	47
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase / 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [EC:2.7.7.60 4.6.1.12]	0.9679692485254033	0.9998517981840558	1	Ia.1.I, Ib.1, Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II	K12506	GC_00000869	1	1	1	1	1	1	1	1	1	1	0.9787	7	2	7	4	1	8	2	5	3	6	47
membrane-bound lytic murein transglycosylase B [EC:4.2.2.-]	0.9679692485254033	0.9998517981840558	1	Ia.1.I, Ib.1, Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II	K08305	GC_00000821	1	1	1	1	1	1	1	1	1	1	0.9787	7	2	7	4	1	8	2	5	3	6	47
DNA polymerase III subunit epsilon [EC:2.7.7.7]	0.9679692485254033	0.9998517981840558	1	Ia.1.I, Ib.1, Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II	K02342	GC_00000867, GC_00002243	1	1	1	1	1	1	1	1	1	1	0.9787	7	2	7	4	1	8	2	5	3	6	47
preprotein translocase subunit SecB	0.9679692485254033	0.9998517981840558	1	Ia.1.I, Ib.1, Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II	K03071	GC_00000858	1	1	1	1	1	1	1	1	1	1	0.9787	7	2	7	4	1	8	2	5	3	6	47
cell division protein FtsQ	0.9679692485254033	0.9998517981840558	1	Ia.1.I, Ib.1, Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II	K03589	GC_00001283, GC_00001764, GC_00001944, GC_00002215, GC_00002295, GC_00002433, GC_00002501, GC_00003281, GC_00003953, GC_00006219, GC_00006426, GC_00006881	1	1	1	1	1	1	1	1	1	1	0.9787	7	2	7	4	1	8	2	5	3	6	47
lipoyl synthase [EC:2.8.1.8]	0.9679692485254033	0.9998517981840558	1	Ia.1.I, Ib.1, Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II	K03644	GC_00000879	1	1	1	1	1	1	1	1	1	1	0.9787	7	2	7	4	1	8	2	5	3	6	47
3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]	0.9679692485254033	0.9998517981840558	1	Ia.1.I, Ib.1, Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II	K02372	GC_00000873, GC_00002485, GC_00003870, GC_00006172, GC_00007254	1	1	1	1	1	1	1	1	1	1	0.9787	7	2	7	4	1	8	2	5	3	6	47
UDP-N-acetylmuramoylalanine--D-glutamate ligase [EC:6.3.2.9]	0.9679692485254033	0.9998517981840558	1	Ia.1.I, Ib.1, Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II	K01925	GC_00000839	1	1	1	1	1	1	1	1	1	1	0.9787	7	2	7	4	1	8	2	5	3	6	47
PmbA protein	0.9679692485254033	0.9998517981840558	1	Ia.1.I, Ib.1, Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II	K03592	GC_00000819	1	1	1	1	1	1	1	1	1	1	0.9787	7	2	7	4	1	8	2	5	3	6	47
UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8]	0.9679692485254033	0.9998517981840558	1	Ia.1.I, Ib.1, Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II	K01924	GC_00000846	1	1	1	1	1	1	1	1	1	1	0.9787	7	2	7	4	1	8	2	5	3	6	47
large subunit ribosomal protein L31	0.9679692485254033	0.9998517981840558	1	Ia.1.I, Ib.1, Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II	K02909	GC_00000816	1	1	1	1	1	1	1	1	1	1	0.9787	7	2	7	4	1	8	2	5	3	6	47
phospho-N-acetylmuramoyl-pentapeptide-transferase [EC:2.7.8.13]	0.9679692485254033	0.9998517981840558	1	Ia.1.I, Ib.1, Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II	K01000	GC_00000773	1	1	1	1	1	1	1	1	1	1	0.9787	7	2	7	4	1	8	2	5	3	6	47
16S rRNA (guanine966-N2)-methyltransferase [EC:2.1.1.171]	0.9679692485254033	0.9998517981840558	1	Ia.1.I, Ib.1, Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II	K08316	GC_00000513	1	1	1	1	1	1	1	1	1	1	0.9787	7	2	7	4	1	8	2	5	3	6	47
nicotinamide-nucleotide amidase [EC:3.5.1.42]	0.9679692485254033	0.9998517981840558	1	Ia.1.I, Ib.1, Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II	K03743	GC_00000860	1	1	1	1	1	1	1	1	1	1	0.9787	7	2	7	4	1	8	2	5	3	6	47
outer membrane protein assembly factor BamD	0.9679692485254033	0.9998517981840558	1	Ia.1.I, Ib.1, Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II	K05807	GC_00000689	1	1	1	1	1	1	1	1	1	1	0.9787	7	2	7	4	1	8	2	5	3	6	47
ATP-dependent DNA helicase RecG [EC:5.6.2.4]	0.9679692485254033	0.9998517981840558	1	Ia.1.I, Ib.1, Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II	K03655	GC_00000876	1	1	1	1	1	1	1	1	1	1	0.9787	7	2	7	4	1	8	2	5	3	6	47
tRNA threonylcarbamoyladenosine biosynthesis protein TsaE	0.9679692485254033	0.9998517981840558	1	Ia.1.I, Ib.1, Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II	K06925	GC_00000926, GC_00003855	1	1	1	1	1	1	1	1	1	1	0.9787	7	2	7	4	1	8	2	5	3	6	47
adenosylhomocysteinase [EC:3.13.2.1]	0.9679692485254033	0.9998517981840558	1	Ia.1.I, Ib.1, Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II	K01251	GC_00000835	1	1	1	1	1	1	1	1	1	1	0.9787	7	2	7	4	1	8	2	5	3	6	47
coenzyme Q-binding protein COQ10	0.9679692485254033	0.9998517981840558	1	Ia.1.I, Ib.1, Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II	K18588	GC_00000853	1	1	1	1	1	1	1	1	1	1	0.9787	7	2	7	4	1	8	2	5	3	6	47
CTP synthase [EC:6.3.4.2]	0.9679692485254033	0.9998517981840558	1	Ia.1.I, Ib.1, Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II	K01937	GC_00000844	1	1	1	1	1	1	1	1	1	1	0.9787	7	2	7	4	1	8	2	5	3	6	47
phosphatidylglycerophosphatase A [EC:3.1.3.27]	0.9679692485254033	0.9998517981840558	1	Ia.1.I, Ib.1, Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II	K01095	GC_00001218, GC_00001370	1	1	1	1	1	1	1	1	1	1	0.9787	7	2	7	4	1	8	2	5	3	6	47
triosephosphate isomerase (TIM) [EC:5.3.1.1]	0.9679692485254033	0.9998517981840558	1	Ia.1.I, Ib.1, Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II	K01803	GC_00000886	1	1	1	1	1	1	1	1	1	1	0.9787	7	2	7	4	1	8	2	5	3	6	47
UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase [EC:2.4.1.227]	0.9679692485254033	0.9998517981840558	1	Ia.1.I, Ib.1, Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II	K02563	GC_00000996, GC_00002089, GC_00003718	1	1	1	1	1	1	1	1	1	1	0.9787	7	2	7	4	1	8	2	5	3	6	47
2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase) [EC:2.5.1.55]	0.9679692485254033	0.9998517981840558	1	Ia.1.I, Ib.1, Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II	K01627	GC_00000880, GC_00007220	1	1	1	1	1	1	1	1	1	1	0.9787	7	2	7	4	1	8	2	5	3	6	47
23S rRNA (guanosine2251-2'-O)-methyltransferase [EC:2.1.1.185]	0.9679692485254033	0.9998517981840558	1	Ia.1.I, Ib.1, Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II	K03218	GC_00000870	1	1	1	1	1	1	1	1	1	1	0.9787	7	2	7	4	1	8	2	5	3	6	47
UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase [EC:3.5.1.108]	0.9679692485254033	0.9998517981840558	1	Ia.1.I, Ib.1, Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II	K02535	GC_00000130	1	1	1	1	1	1	1	1	1	1	0.9787	7	2	7	4	1	8	2	5	3	6	47
H+-translocating NAD(P) transhydrogenase subunit alpha [EC:1.6.1.2 7.1.1.1]	0.9679692485254033	0.9998517981840558	1	Ia.1.I, Ib.1, Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II	K00324	GC_00000855	1	1	1	1	1	1	1	1	1	1	0.9787	7	2	7	4	1	8	2	5	3	6	47
UDP-N-acetylglucosamine acyltransferase [EC:2.3.1.129]	0.9679692485254033	0.9998517981840558	1	Ia.1.I, Ib.1, Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II	K00677	GC_00000884, GC_00002065	1	1	1	1	1	1	1	1	1	1	0.9787	7	2	7	4	1	8	2	5	3	6	47
enolase [EC:4.2.1.11]	0.9679692485254033	0.9998517981840558	1	Ia.1.I, Ib.1, Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II	K01689	GC_00000851	1	1	1	1	1	1	1	1	1	1	0.9787	7	2	7	4	1	8	2	5	3	6	47
D-alanine-D-alanine ligase [EC:6.3.2.4]	0.9679692485254033	0.9998517981840558	1	Ia.1.I, Ib.1, Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II	K01921	GC_00000838, GC_00003453	1	1	1	1	1	1	1	1	1	1	0.9787	7	2	7	4	1	8	2	5	3	6	47
metalloendopeptidase OMA1, mitochondrial [EC:3.4.24.-]	0.9679692485254033	0.9998517981840558	1	Ia.1.I, Ib.1, Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II	K23010	GC_00000820, GC_00005203	1	1	1	1	1	1	1	1	1	1	0.9787	7	2	7	4	1	8	2	5	3	6	47
TldD protein	0.9679692485254033	0.9998517981840558	1	Ia.1.I, Ib.1, Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II	K03568	GC_00000828	1	1	1	1	1	1	1	1	1	1	0.9787	7	2	7	4	1	8	2	5	3	6	47
N-acetylmuramate 1-kinase [EC:2.7.1.221]	0.9679692485254033	0.9998517981840558	1	Ia.1.I, Ib.1, Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II	K07102	GC_00000743	1	1	1	1	1	1	1	1	1	1	0.9787	7	2	7	4	1	8	2	5	3	6	47
chloramphenicol-sensitive protein RarD	0.9679692485254033	0.9998517981840558	1	Ia.1.I, Ib.1, Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II	K05786	GC_00000840	1	1	1	1	1	1	1	1	1	1	0.9787	7	2	7	4	1	8	2	5	3	6	47
H+-translocating NAD(P) transhydrogenase subunit beta [EC:1.6.1.2 7.1.1.1]	0.9679692485254033	0.9998517981840558	1	Ia.1.I, Ib.1, Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II	K00325	GC_00000848	1	1	1	1	1	1	1	1	1	1	0.9787	7	2	7	4	1	8	2	5	3	6	47
cell division protein FtsW	0.9679692485254033	0.9998517981840558	1	Ia.1.I, Ib.1, Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II	K03588	GC_00000856	1	1	1	1	1	1	1	1	1	1	0.9787	7	2	7	4	1	8	2	5	3	6	47
UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase [EC:2.3.1.191]	0.9679692485254033	0.9998517981840558	1	Ia.1.I, Ib.1, Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II	K02536	GC_00000847, GC_00004954	1	1	1	1	1	1	1	1	1	1	0.9787	7	2	7	4	1	8	2	5	3	6	47
phosphoribosylamine---glycine ligase [EC:6.3.4.13]	0.9679692485254033	0.9998517981840558	1	Ia.1.I, Ib.1, Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II	K01945	GC_00000857	1	1	1	1	1	1	1	1	1	1	0.9787	7	2	7	4	1	8	2	5	3	6	47
Kdo2-lipid IVA lauroyltransferase/acyltransferase [EC:2.3.1.241 2.3.1.-]	0.9679692485254033	0.9998517981840558	1	Ia.1.I, Ib.1, Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II	K02517	GC_00000845	1	1	1	1	1	1	1	1	1	1	0.9787	7	2	7	4	1	8	2	5	3	6	47
radial spoke head protein 1	0.9679692485254011	0.9998517981840556	1	Ia.3.VI	K19755	GC_00004720	0	0	0	0	0	0	0	0	0	0	0.0213	7	2	7	4	1	8	2	5	3	6	47
CDP-abequose synthase [EC:1.1.1.341]	0.9679692485254011	0.9998517981840556	1	Ia.3.VI	K12455	GC_00005317	0	0	0	0	0	0	0	0	0	0	0.0213	7	2	7	4	1	8	2	5	3	6	47
cytochrome bd ubiquinol oxidase subunit II [EC:7.1.1.7]	0.9679692485254011	0.9998517981840556	1	Ia.3.VI	K00426	GC_00005296	0	0	0	0	0	0	0	0	0	0	0.0213	7	2	7	4	1	8	2	5	3	6	47
ATP-dependent DNA helicase PIF1 [EC:5.6.2.3]	0.9679692485254011	0.9998517981840556	1	Ia.3.VI	K15255	GC_00007474	0	0	0	0	0	0	0	0	0	0	0.0213	7	2	7	4	1	8	2	5	3	6	47
GTP pyrophosphokinase [EC:2.7.6.5]	0.9679692485254011	0.9998517981840556	1	Ia.3.VI	K07816	GC_00006876	0	0	0	0	0	0	0	0	0	0	0.0213	7	2	7	4	1	8	2	5	3	6	47
spore coat protein SA	0.9679692485254011	0.9998517981840556	1	Ia.3.VI	K06338	GC_00006433	0	0	0	0	0	0	0	0	0	0	0.0213	7	2	7	4	1	8	2	5	3	6	47
glc operon protein GlcG	0.9679692485254011	0.9998517981840556	1	Ia.3.VI	K11477	GC_00006850	0	0	0	0	0	0	0	0	0	0	0.0213	7	2	7	4	1	8	2	5	3	6	47
N-acyl-D-amino-acid deacylase [EC:3.5.1.81]	0.9679692485254011	0.9998517981840556	1	Ia.3.VI	K06015	GC_00008151	0	0	0	0	0	0	0	0	0	0	0.0213	7	2	7	4	1	8	2	5	3	6	47
gamma-polyglutamate biosynthesis protein CapA	0.9679692485254011	0.9998517981840556	1	Ia.3.VI	K07282	GC_00007291	0	0	0	0	0	0	0	0	0	0	0.0213	7	2	7	4	1	8	2	5	3	6	47
CRP/FNR family transcriptional regulator, anaerobic regulatory protein	0.9679692485254011	0.9998517981840556	1	Ia.3.VI	K01420	GC_00007068	0	0	0	0	0	0	0	0	0	0	0.0213	7	2	7	4	1	8	2	5	3	6	47
poly(glycerol-phosphate) alpha-glucosyltransferase [EC:2.4.1.52]	0.9679692485254011	0.9998517981840556	1	Ia.3.VI	K00712	GC_00008020	0	0	0	0	0	0	0	0	0	0	0.0213	7	2	7	4	1	8	2	5	3	6	47
benzil reductase ((S)-benzoin forming) [EC:1.1.1.320]	0.9679692485254011	0.9998517981840556	1	Ia.3.VI	K16216	GC_00005545	0	0	0	0	0	0	0	0	0	0	0.0213	7	2	7	4	1	8	2	5	3	6	47
mercuric ion transport protein	0.9679692485254011	0.9998517981840556	1	Ia.3.VI	K08363	GC_00007011	0	0	0	0	0	0	0	0	0	0	0.0213	7	2	7	4	1	8	2	5	3	6	47
periplasmic mercuric ion binding protein	0.9679692485254011	0.9998517981840556	1	Ia.3.VI	K08364	GC_00007164	0	0	0	0	0	0	0	0	0	0	0.0213	7	2	7	4	1	8	2	5	3	6	47
aminopeptidase [EC:3.4.11.-]	0.9679692485254011	0.9998517981840556	1	Ia.3.VI	K19689	GC_00005500	0	0	0	0	0	0	0	0	0	0	0.0213	7	2	7	4	1	8	2	5	3	6	47
cytochrome bd ubiquinol oxidase subunit I [EC:7.1.1.7]	0.9679692485254011	0.9998517981840556	1	Ia.3.VI	K00425	GC_00007883	0	0	0	0	0	0	0	0	0	0	0.0213	7	2	7	4	1	8	2	5	3	6	47
maltose O-acetyltransferase [EC:2.3.1.79]	0.9679692485254011	0.9998517981840556	1	Ia.3.VI	K00661	GC_00006326	0	0	0	0	0	0	0	0	0	0	0.0213	7	2	7	4	1	8	2	5	3	6	47
L-proline 4-hydroxylase [EC:1.14.11.57]	0.9679692485254011	0.9998517981840556	1	Ia.3.VI	K21615	GC_00007821	0	0	0	0	0	0	0	0	0	0	0.0213	7	2	7	4	1	8	2	5	3	6	47
